,Year,LocationAbbr,Location,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
59209,2013,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Participation in daily school physical education classes among high school students,%,Crude Prevalence,10.2,,,6.4,16.0,Gender,Female,POINT (144.793731 13.444304),66,NPAW,NPAW12_1,CRDPREV,GENDER,GENF
59238,2017,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,%,Crude Prevalence,39.0,,,34.2,44.0,Gender,Male,POINT (144.793731 13.444304),66,NPAW,NPAW21_0,CRDPREV,GENDER,GENM
59383,2017,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines among high school students,%,Crude Prevalence,19.9,,,17.2,22.9,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW11_4,CRDPREV,OVERALL,OVR
59534,2017,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines among high school students,%,Crude Prevalence,18.4,,,13.7,24.3,Race/Ethnicity,"Asian, non-Hispanic",POINT (144.793731 13.444304),66,NPAW,NPAW11_4,CRDPREV,RACE,ASN
59648,2015,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Median daily frequency of fruit consumption among high school students,Number,Median,0.7,,,0.3,1.4,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW4_1,MEDIAN,OVERALL,OVR
59837,2013,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Obesity among high school students,%,Crude Prevalence,9.2,,,6.6,12.6,Race/Ethnicity,"Asian, non-Hispanic",POINT (144.793731 13.444304),66,NPAW,NPAW1_2,CRDPREV,RACE,ASN
60279,2018,GU,Guam,CDC Breastfeeding Report Card,"Nutrition, Physical Activity, and Weight Status",Live births occurring at Baby Friendly Facilities,%,Percent,0.0,,,,,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW18_0,PRCT,OVERALL,OVR
60358,2017,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines among high school students,%,Crude Prevalence,25.1,,,21.2,29.5,Gender,Male,POINT (144.793731 13.444304),66,NPAW,NPAW11_4,CRDPREV,GENDER,GENM
60736,2017,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among high school students,%,Crude Prevalence,34.8,,,29.3,40.7,Race/Ethnicity,"Asian, non-Hispanic",POINT (144.793731 13.444304),66,NPAW,NPAW2_2,CRDPREV,RACE,ASN
60901,2019,GU,Guam,"HRSA, UDS",Oral Health,Oral health services at Federally Qualified Health Centers,%,Crude Prevalence,0.0,,,,,Overall,Overall,POINT (144.793731 13.444304),66,ORH,ORH3_0,CRDPREV,OVERALL,OVR
61156,2017,GU,Guam,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,16.9,,,13.3,21.3,Gender,Female,POINT (144.793731 13.444304),66,ALC,ALC1_1,CRDPREV,GENDER,GENF
61603,2015,GU,Guam,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,13.3,,,10.9,16.0,Overall,Overall,POINT (144.793731 13.444304),66,ALC,ALC2_1,CRDPREV,OVERALL,OVR
61733,2018,GU,Guam,"HRSA, UDS",Oral Health,Oral health services at Federally Qualified Health Centers,%,Crude Prevalence,0.0,,,,,Overall,Overall,POINT (144.793731 13.444304),66,ORH,ORH3_0,CRDPREV,OVERALL,OVR
61845,2013,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Obesity among high school students,%,Crude Prevalence,20.1,,,17.4,23.1,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW1_2,CRDPREV,OVERALL,OVR
61929,2014,GU,Guam,National Immunization Survey,"Nutrition, Physical Activity, and Weight Status",Receiving formula supplementation within the first 2 days of life among breastfed infants,%,Crude Prevalence,27.3,,,21.0,34.5,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW16_0,CRDPREV,OVERALL,OVR
61990,2017,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Obesity among high school students,%,Crude Prevalence,18.6,,,14.1,24.1,Race/Ethnicity,"Asian, non-Hispanic",POINT (144.793731 13.444304),66,NPAW,NPAW1_2,CRDPREV,RACE,ASN
62197,2013,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Participation in daily school physical education classes among high school students,%,Crude Prevalence,8.7,,,3.9,18.4,Race/Ethnicity,Hispanic,POINT (144.793731 13.444304),66,NPAW,NPAW12_1,CRDPREV,RACE,HIS
62234,2017,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Participation in daily school physical education classes among high school students,%,Crude Prevalence,8.0,,,6.0,10.5,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW12_1,CRDPREV,OVERALL,OVR
62251,2013,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Healthy weight among high school students,%,Crude Prevalence,59.7,,,56.3,63.0,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW3_2,CRDPREV,OVERALL,OVR
62452,2015,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines among high school students,%,Crude Prevalence,30.1,,,25.3,35.4,Gender,Male,POINT (144.793731 13.444304),66,NPAW,NPAW11_4,CRDPREV,GENDER,GENM
62528,2015,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Obesity among high school students,%,Crude Prevalence,23.5,,,19.7,27.9,Gender,Male,POINT (144.793731 13.444304),66,NPAW,NPAW1_2,CRDPREV,GENDER,GENM
63140,2017,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Healthy weight among high school students,%,Crude Prevalence,58.4,,,54.1,62.6,Gender,Female,POINT (144.793731 13.444304),66,NPAW,NPAW3_2,CRDPREV,GENDER,GENF
63305,2017,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,%,Crude Prevalence,42.5,,,38.9,46.2,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW21_0,CRDPREV,OVERALL,OVR
63424,2015,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Obesity among high school students,%,Crude Prevalence,15.1,,,10.4,21.6,Race/Ethnicity,"Asian, non-Hispanic",POINT (144.793731 13.444304),66,NPAW,NPAW1_2,CRDPREV,RACE,ASN
63477,2016,GU,Guam,National Immunization Survey,"Nutrition, Physical Activity, and Weight Status",Infants breastfed at 6 months,%,Crude Prevalence,57.7,,,50.1,65.0,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW15_0,CRDPREV,OVERALL,OVR
63596,2015,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among high school students,%,Crude Prevalence,40.1,,,36.8,43.5,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW2_2,CRDPREV,OVERALL,OVR
63613,2015,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Obesity among high school students,%,Crude Prevalence,20.3,,,17.5,23.4,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW1_2,CRDPREV,OVERALL,OVR
63702,2015,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Participation in daily school physical education classes among high school students,%,Crude Prevalence,15.1,,,11.0,20.5,Gender,Male,POINT (144.793731 13.444304),66,NPAW,NPAW12_1,CRDPREV,GENDER,GENM
64027,2017,GU,Guam,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,18.2,,,15.1,21.8,Overall,Overall,POINT (144.793731 13.444304),66,ALC,ALC1_1,CRDPREV,OVERALL,OVR
64267,2013,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines among high school students,%,Crude Prevalence,28.1,,,24.1,32.4,Gender,Male,POINT (144.793731 13.444304),66,NPAW,NPAW11_4,CRDPREV,GENDER,GENM
64344,2015,GU,Guam,YRBSS,Tobacco,Current smokeless tobacco use among youth,%,Crude Prevalence,17.3,,,14.0,21.0,Overall,Overall,POINT (144.793731 13.444304),66,TOB,TOB2_1,CRDPREV,OVERALL,OVR
64545,2017,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Participation in daily school physical education classes among high school students,%,Crude Prevalence,7.3,,,4.5,11.5,Race/Ethnicity,"Asian, non-Hispanic",POINT (144.793731 13.444304),66,NPAW,NPAW12_1,CRDPREV,RACE,ASN
64573,2017,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Healthy weight among high school students,%,Crude Prevalence,55.2,,,51.9,58.5,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW3_2,CRDPREV,OVERALL,OVR
64662,2017,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Obesity among high school students,%,Crude Prevalence,28.9,,,24.6,33.7,Gender,Male,POINT (144.793731 13.444304),66,NPAW,NPAW1_2,CRDPREV,GENDER,GENM
64711,2014,GU,Guam,CDC School Health Profiles,"Nutrition, Physical Activity, and Weight Status",Secondary schools that allow students to purchase soda or fruit drinks,%,Percent,15.4,,,15.4,15.4,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW13_2,PRCT,OVERALL,OVR
64760,2017,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among high school students,%,Crude Prevalence,44.8,,,39.7,50.0,Gender,Male,POINT (144.793731 13.444304),66,NPAW,NPAW2_2,CRDPREV,GENDER,GENM
65062,2015,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines among high school students,%,Crude Prevalence,22.9,,,17.6,29.1,Race/Ethnicity,"Asian, non-Hispanic",POINT (144.793731 13.444304),66,NPAW,NPAW11_4,CRDPREV,RACE,ASN
65282,2017,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Obesity among high school students,%,Crude Prevalence,23.0,,,19.8,26.5,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW1_2,CRDPREV,OVERALL,OVR
65659,2017,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,%,Crude Prevalence,45.9,,,40.6,51.3,Gender,Female,POINT (144.793731 13.444304),66,NPAW,NPAW21_0,CRDPREV,GENDER,GENF
65880,2013,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Participation in daily school physical education classes among high school students,%,Crude Prevalence,12.6,,,9.6,16.4,Gender,Male,POINT (144.793731 13.444304),66,NPAW,NPAW12_1,CRDPREV,GENDER,GENM
65908,2015,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Healthy weight among high school students,%,Crude Prevalence,56.7,,,53.6,59.8,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW3_2,CRDPREV,OVERALL,OVR
66196,2017,GU,Guam,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,7.9,,,6.1,10.4,Overall,Overall,POINT (144.793731 13.444304),66,ALC,ALC2_1,CRDPREV,OVERALL,OVR
66466,2017,GU,Guam,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,7.9,,,5.2,11.9,Gender,Male,POINT (144.793731 13.444304),66,ALC,ALC2_1,CRDPREV,GENDER,GENM
66524,2016,GU,Guam,National Immunization Survey,"Nutrition, Physical Activity, and Weight Status",Receiving formula supplementation within the first 2 days of life among breastfed infants,%,Crude Prevalence,21.2,,,15.2,28.8,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW16_0,CRDPREV,OVERALL,OVR
66686,2019,GU,Guam,CDC Breastfeeding Report Card,"Nutrition, Physical Activity, and Weight Status",Live births occurring at Baby Friendly Facilities,%,Percent,0.0,,,,,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW18_0,PRCT,OVERALL,OVR
66847,2013,GU,Guam,"HRSA, UDS",Oral Health,Oral health services at Federally Qualified Health Centers,%,Crude Prevalence,0.0,,,,,Overall,Overall,POINT (144.793731 13.444304),66,ORH,ORH3_0,CRDPREV,OVERALL,OVR
67004,2017,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Healthy weight among high school students,%,Crude Prevalence,51.7,,,46.8,56.6,Gender,Male,POINT (144.793731 13.444304),66,NPAW,NPAW3_2,CRDPREV,GENDER,GENM
67103,2017,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Soda consumption among high school students,%,Crude Prevalence,19.0,,,15.5,23.0,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW12_2,CRDPREV,OVERALL,OVR
67115,2013,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines among high school students,%,Crude Prevalence,22.9,,,15.7,32.1,Race/Ethnicity,Hispanic,POINT (144.793731 13.444304),66,NPAW,NPAW11_4,CRDPREV,RACE,HIS
67259,2013,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Obesity among high school students,%,Crude Prevalence,16.8,,,13.9,20.2,Gender,Female,POINT (144.793731 13.444304),66,NPAW,NPAW1_2,CRDPREV,GENDER,GENF
67322,2017,GU,Guam,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,3.3,,,1.6,7.0,Race/Ethnicity,"Asian, non-Hispanic",POINT (144.793731 13.444304),66,ALC,ALC2_1,CRDPREV,RACE,ASN
67528,2013,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines among high school students,%,Crude Prevalence,23.5,,,20.0,27.3,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW11_4,CRDPREV,OVERALL,OVR
67630,2013,GU,Guam,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,23.5,,,20.3,27.0,Overall,Overall,POINT (144.793731 13.444304),66,ALC,ALC1_1,CRDPREV,OVERALL,OVR
67843,2013,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among high school students,%,Crude Prevalence,37.0,,,33.7,40.5,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW2_2,CRDPREV,OVERALL,OVR
67896,2013,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Participation in daily school physical education classes among high school students,%,Crude Prevalence,11.5,,,8.4,15.5,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW12_1,CRDPREV,OVERALL,OVR
67915,2017,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines among high school students,%,Crude Prevalence,15.7,,,12.3,19.8,Gender,Female,POINT (144.793731 13.444304),66,NPAW,NPAW11_4,CRDPREV,GENDER,GENF
68303,2013,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Participation in daily school physical education classes among high school students,%,Crude Prevalence,8.0,,,5.4,11.6,Race/Ethnicity,"Asian, non-Hispanic",POINT (144.793731 13.444304),66,NPAW,NPAW12_1,CRDPREV,RACE,ASN
68492,2014,GU,Guam,National Immunization Survey,"Nutrition, Physical Activity, and Weight Status",Infants breastfed at 6 months,%,Crude Prevalence,56.4,,,49.6,62.9,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW15_0,CRDPREV,OVERALL,OVR
68549,2017,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Obesity among high school students,%,Crude Prevalence,21.3,,,14.9,29.6,Race/Ethnicity,"White, non-Hispanic",POINT (144.793731 13.444304),66,NPAW,NPAW1_2,CRDPREV,RACE,WHT
68551,2014,GU,Guam,CDC School Health Profiles,"Nutrition, Physical Activity, and Weight Status",Secondary schools that offer less healthy foods as competitive foods,%,Percent,69.2,,,69.2,69.2,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW13_4,PRCT,OVERALL,OVR
68622,2017,GU,Guam,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,19.4,,,14.9,25.0,Gender,Male,POINT (144.793731 13.444304),66,ALC,ALC1_1,CRDPREV,GENDER,GENM
68801,2017,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Participation in daily school physical education classes among high school students,%,Crude Prevalence,6.1,,,3.6,10.1,Gender,Female,POINT (144.793731 13.444304),66,NPAW,NPAW12_1,CRDPREV,GENDER,GENF
68833,2017,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among high school students,%,Crude Prevalence,42.3,,,39.2,45.5,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW2_2,CRDPREV,OVERALL,OVR
69091,2015,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Obesity among high school students,%,Crude Prevalence,16.3,,,13.0,20.3,Gender,Female,POINT (144.793731 13.444304),66,NPAW,NPAW1_2,CRDPREV,GENDER,GENF
69096,2013,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines among high school students,%,Crude Prevalence,20.9,,,16.6,26.1,Race/Ethnicity,"Asian, non-Hispanic",POINT (144.793731 13.444304),66,NPAW,NPAW11_4,CRDPREV,RACE,ASN
69289,2013,GU,Guam,YRBSS,Tobacco,Current smokeless tobacco use among youth,%,Crude Prevalence,15.2,,,12.9,18.0,Overall,Overall,POINT (144.793731 13.444304),66,TOB,TOB2_1,CRDPREV,OVERALL,OVR
69616,2015,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines among high school students,%,Crude Prevalence,15.6,,,12.4,19.3,Gender,Female,POINT (144.793731 13.444304),66,NPAW,NPAW11_4,CRDPREV,GENDER,GENF
69692,2014,GU,Guam,"HRSA, UDS",Oral Health,Oral health services at Federally Qualified Health Centers,%,Crude Prevalence,0.0,,,,,Overall,Overall,POINT (144.793731 13.444304),66,ORH,ORH3_0,CRDPREV,OVERALL,OVR
69853,2016,GU,Guam,"HRSA, UDS",Oral Health,Oral health services at Federally Qualified Health Centers,%,Crude Prevalence,0.0,,,,,Overall,Overall,POINT (144.793731 13.444304),66,ORH,ORH3_0,CRDPREV,OVERALL,OVR
69986,2015,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Participation in daily school physical education classes among high school students,%,Crude Prevalence,11.5,,,8.1,16.1,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW12_1,CRDPREV,OVERALL,OVR
70214,2015,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Participation in daily school physical education classes among high school students,%,Crude Prevalence,11.9,,,7.9,17.5,Race/Ethnicity,"Asian, non-Hispanic",POINT (144.793731 13.444304),66,NPAW,NPAW12_1,CRDPREV,RACE,ASN
70441,2015,GU,Guam,"HRSA, UDS",Oral Health,Oral health services at Federally Qualified Health Centers,%,Crude Prevalence,0.0,,,,,Overall,Overall,POINT (144.793731 13.444304),66,ORH,ORH3_0,CRDPREV,OVERALL,OVR
70545,2014,GU,Guam,CDC School Health Profiles,Tobacco,Secondary schools that have a comprehensive tobacco-free school policy in place,%,Percent,58.3,,,58.3,58.3,Overall,Overall,POINT (144.793731 13.444304),66,TOB,TOB9_0,PRCT,OVERALL,OVR
70772,2017,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among high school students,%,Crude Prevalence,40.1,,,36.1,44.2,Gender,Female,POINT (144.793731 13.444304),66,NPAW,NPAW2_2,CRDPREV,GENDER,GENF
70801,2017,GU,Guam,YRBSS,Tobacco,Current smokeless tobacco use among youth,%,Crude Prevalence,1.0,,,0.3,3.7,Race/Ethnicity,"Asian, non-Hispanic",POINT (144.793731 13.444304),66,TOB,TOB2_1,CRDPREV,RACE,ASN
70891,2013,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Obesity among high school students,%,Crude Prevalence,21.2,,,14.7,29.5,Race/Ethnicity,Hispanic,POINT (144.793731 13.444304),66,NPAW,NPAW1_2,CRDPREV,RACE,HIS
71032,2017,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Soda consumption among high school students,%,Crude Prevalence,18.4,,,14.5,23.1,Gender,Male,POINT (144.793731 13.444304),66,NPAW,NPAW12_2,CRDPREV,GENDER,GENM
71055,2013,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Median daily frequency of fruit consumption among high school students,Number,Median,0.6,,,0.3,1.4,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW4_1,MEDIAN,OVERALL,OVR
71174,2017,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Obesity among high school students,%,Crude Prevalence,17.6,,,13.6,22.4,Gender,Female,POINT (144.793731 13.444304),66,NPAW,NPAW1_2,CRDPREV,GENDER,GENF
71390,2013,GU,Guam,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,12.7,,,10.3,15.7,Overall,Overall,POINT (144.793731 13.444304),66,ALC,ALC2_1,CRDPREV,OVERALL,OVR
71396,2017,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Healthy weight among high school students,%,Crude Prevalence,60.9,,,54.9,66.7,Race/Ethnicity,"Asian, non-Hispanic",POINT (144.793731 13.444304),66,NPAW,NPAW3_2,CRDPREV,RACE,ASN
71399,2015,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Median daily frequency of vegetable consumption among high school students,Number,Median,1.1,,,0.6,2.0,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW5_1,MEDIAN,OVERALL,OVR
71462,2015,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines among high school students,%,Crude Prevalence,23.5,,,20.5,26.8,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW11_4,CRDPREV,OVERALL,OVR
71592,2013,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines among high school students,%,Crude Prevalence,18.5,,,13.7,24.7,Gender,Female,POINT (144.793731 13.444304),66,NPAW,NPAW11_4,CRDPREV,GENDER,GENF
71922,2015,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Participation in daily school physical education classes among high school students,%,Crude Prevalence,7.2,,,4.0,12.7,Gender,Female,POINT (144.793731 13.444304),66,NPAW,NPAW12_1,CRDPREV,GENDER,GENF
211395,2016,PR,Puerto Rico,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,48.2,,,47.4,49.0,Race/Ethnicity,Hispanic,POINT (-66.590149 18.220833),72,DIS,DIS1_0,CRDPREV,RACE,HIS
211399,2012,PR,Puerto Rico,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,51.2,,,50.3,52.1,Overall,Overall,POINT (-66.590149 18.220833),72,DIS,DIS1_0,CRDPREV,OVERALL,OVR
